Date;Type;Valeur;Note;ISIN;Parts;Frais;Impôts / Taxes;ISIN2;Parts2
2023-02-06T15:00:06;Dépôt;200.0;Maxime Farré;;;;;;
2023-02-10T09:07:09;Dépôt;1801.0;Maxime Farré;;;;;;
2023-02-10T11:32:49;Achat;-55.97;Coinbase Global (A);US19260Q1076;1.0;-1.0;;;
2023-02-10T17:07:17;Achat;-51.37;Danone;FR0000120644;1.0;-1.0;-0.15;;
2023-02-10T17:16:23;Achat;-14.86;Eutelsat;FR0010221234;2.0;-1.0;-0.04;;
2023-02-16T14:35:47;Achat;-95.0;Amazon.com;US0231351067;1.023376;;;;
2023-02-16T14:50:51;Achat;-95.0;Alphabet (A);US02079K3059;1.054969;;;;
2023-02-16T15:18:36;Achat;-15.0;Tesla;US88160R1014;0.075;;;;
2023-03-01T11:13:51;Intérêts;1.87;Zinsen;;;;;;
2023-03-02T09:51:56;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.019079;;;;
2023-03-02T15:15:47;Achat;-20.0;Meta Platforms (A);US30303M1027;0.122955;;;;
2023-03-02T15:19:43;Achat;-20.0;Tesla;US88160R1014;0.110601;;;;
2023-03-16T09:52:01;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.019243;;;;
2023-03-16T14:36:03;Achat;-10.0;Amazon.com;US0231351067;0.107979;;;;
2023-03-16T14:38:47;Achat;-20.0;Apple;US0378331005;0.13835;;;;
2023-03-16T14:49:59;Achat;-10.0;Alphabet (A);US02079K3059;0.107204;;;;
2023-03-16T15:18:58;Achat;-20.0;Tesla;US88160R1014;0.116022;;;;
2023-03-16T15:36:42;Achat;-10.0;Microsoft;US5949181045;0.039062;;;;
2023-04-01T05:17:42;Intérêts;2.73;Zinsen;;;;;;
2023-04-03T08:52:03;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.017793;;;;
2023-04-03T14:15:45;Achat;-20.0;Meta Platforms (A);US30303M1027;0.10368;;;;
2023-04-03T14:18:46;Achat;-20.0;Tesla;US88160R1014;0.110607;;;;
2023-04-17T08:51:46;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.016991;;;;
2023-04-17T13:36:15;Achat;-10.0;Amazon.com;US0231351067;0.105764;;;;
2023-04-17T13:40:02;Achat;-20.0;Apple;US0378331005;0.13259;;;;
2023-04-17T14:02:16;Achat;-10.0;Alphabet (A);US02079K3059;0.103637;;;;
2023-04-17T14:18:22;Achat;-20.0;Tesla;US88160R1014;0.116726;;;;
2023-04-17T14:39:37;Achat;-10.0;Microsoft;US5949181045;0.037992;;;;
2023-04-26T23:05:03;Dividendes;0.38;LVMH Moët Hennessy;FR0000121014;0.073106;;-0.13;;
2023-05-01T08:45:25;Intérêts;2.42;Zinsen;;;;;;
2023-05-02T08:52:04;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.017191;;;;
2023-05-02T14:18:26;Achat;-20.0;Tesla;US88160R1014;0.133832;;;;
2023-05-10T23:21:05;Dividendes;1.5;Danone;FR0000120644;1.0;;-0.5;;
2023-05-16T08:51:53;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.01715;;;;
2023-05-16T13:35:25;Achat;-10.0;Amazon.com;US0231351067;0.097333;;;;
2023-05-16T13:38:03;Achat;-20.0;Apple;US0378331005;0.125976;;;;
2023-05-16T13:49:11;Achat;-10.0;Alphabet (A);US02079K3059;0.092319;;;;
2023-05-16T14:18:10;Achat;-20.0;Tesla;US88160R1014;0.130616;;;;
2023-05-16T14:36:07;Achat;-10.0;Microsoft;US5949181045;0.034794;;;;
2023-05-17T23:39:24;Dividendes;0.05;Apple;US0378331005;0.27094;;-0.01;;
2023-06-01T12:52:49;Intérêts;2.28;Zinsen;;;;;;
2023-06-02T10:25:32;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.018148;;;;
2023-06-02T14:18:57;Achat;-20.0;Tesla;US88160R1014;0.100401;;;;
2023-06-02T15:02:36;Achat;-10.0;Tractor Supply;US8923561067;0.051072;;;;
2023-06-09T23:18:09;Dividendes;0.06;Microsoft;US5949181045;0.111848;;-0.01;;
2023-06-16T08:51:56;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.017574;;;;
2023-06-16T13:37:31;Achat;-10.0;Amazon.com;US0231351067;0.08676;;;;
2023-06-16T13:38:58;Achat;-20.0;Apple;US0378331005;0.118049;;;;
2023-06-16T13:49:11;Achat;-10.0;Alphabet (A);US02079K3059;0.08795;;;;
2023-06-16T14:18:30;Achat;-20.0;Tesla;US88160R1014;0.083229;;;;
2023-06-16T14:36:30;Achat;-10.0;Microsoft;US5949181045;0.031461;;;;
2023-06-16T15:02:33;Achat;-10.0;Tractor Supply;US8923561067;0.049701;;;;
2023-07-01T04:48:58;Intérêts;1.99;Zinsen;;;;;;
2023-07-03T08:52:14;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.017601;;;;
2023-07-03T14:16:33;Achat;-10.0;Meta Platforms (A);US30303M1027;0.0379;;;;
2023-07-03T14:19:48;Achat;-20.0;Tesla;US88160R1014;0.077441;;;;
2023-07-03T15:02:33;Achat;-10.0;Tractor Supply;US8923561067;0.049701;;;;
2023-07-17T08:52:00;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.017421;;;;
2023-07-17T13:36:08;Achat;-10.0;Amazon.com;US0231351067;0.083125;;;;
2023-07-17T13:39:33;Achat;-20.0;Apple;US0378331005;0.115928;;;;
2023-07-17T13:49:38;Achat;-10.0;Alphabet (A);US02079K3059;0.089485;;;;
2023-07-17T14:18:16;Achat;-20.0;Tesla;US88160R1014;0.077911;;;;
2023-07-17T14:36:33;Achat;-10.0;Microsoft;US5949181045;0.032583;;;;
2023-07-17T15:02:33;Achat;-10.0;Tractor Supply;US8923561067;0.053134;;;;
2023-08-01T16:35:12;Intérêts;1.81;Zinsen;;;;;;
2023-08-02T08:52:17;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.01838;;;;
2023-08-02T14:15:50;Achat;-10.0;Meta Platforms (A);US30303M1027;0.03459;;;;
2023-08-02T14:18:28;Achat;-20.0;Tesla;US88160R1014;0.085579;;;;
2023-08-02T15:02:33;Achat;-10.0;Tractor Supply;US8923561067;0.048543;;;;
2023-08-16T08:52:37;Achat;-15.05;LVMH Moët Hennessy;FR0000121014;0.018534;;;;
2023-08-16T13:35:55;Achat;-10.0;Amazon.com;US0231351067;0.07991;;;;
2023-08-16T13:40:31;Achat;-20.0;Apple;US0378331005;0.122744;;;;
2023-08-16T13:49:17;Achat;-10.0;Alphabet (A);US02079K3059;0.084175;;;;
2023-08-16T14:19:02;Achat;-20.0;Tesla;US88160R1014;0.093523;;;;
2023-08-16T14:38:12;Achat;-10.0;Microsoft;US5949181045;0.033811;;;;
2023-08-16T15:02:33;Achat;-10.0;Tractor Supply;US8923561067;0.048923;;;;
2023-08-16T23:21:38;Dividendes;0.12;Apple;US0378331005;0.630893;;-0.02;;
2023-09-01T05:38:48;Intérêts;1.55;Zinsen;;;;;;
2023-09-04T08:53:04;Achat;-30.09;LVMH Moët Hennessy;FR0000121014;0.038372;;;;
2023-09-04T13:50:36;Achat;-10.0;Alphabet (A);US02079K3059;0.079365;;;;
2023-09-04T14:16:07;Achat;-10.0;Meta Platforms (A);US30303M1027;0.036238;;;;
2023-09-04T14:21:25;Achat;-20.0;Tesla;US88160R1014;0.086244;;;;
2023-09-04T15:02:33;Achat;-10.0;Tractor Supply;US8923561067;0.04878;;;;
